week,passing_epa,completions,attempts,passing_yards,passing_tds,interceptions,sacks,pacr
1,-2.0319598843343556,0,1,0,0,0,1,0
13,-7.791563930410868,23,44,254,2,1,2,0.4677716390423573
14,-1.6544217481042307,26,45,311,3,1,1,0.9311377245508982
15,-17.392163456001864,28,44,374,2,3,4,0.9790575916230366
16,19.032988064660458,27,42,368,3,2,0,0.7796610169491526
17,6.1975739089539275,19,29,309,3,1,1,1.7262569832402235
1,20.67998153272862,24,38,334,0,0,0,0.8166259168704156
2,-5.089192700477703,34,55,307,1,2,1,0.8457300275482094
3,-8.404790011332945,18,33,269,1,2,6,0.8485804416403786
4,11.37435107669372,27,40,319,1,1,2,1.0740740740740742
5,-2.536261009518057,21,37,222,2,0,4,0.6065573770491803
6,3.271050272125505,15,24,226,1,0,3,1.1832460732984293
7,-3.590840504016092,14,29,231,1,1,2,0.8783269961977186
8,-4.978713984668223,13,22,162,1,1,1,1.0657894736842106
11,-4.574814941957867,17,31,190,1,1,1,1.2025316455696202
12,13.204231557474376,25,33,229,4,1,0,1.1927083333333333
13,5.319123742495321,22,37,279,3,0,0,0.9554794520547946
14,6.54873018331353,23,41,294,3,0,2,0.7636363636363637
15,7.874736452077675,25,33,258,2,0,3,1.5
16,15.034519595255833,24,34,328,2,0,1,1.1798561151079137
17,0.8999966169358231,24,34,317,1,2,4,1.601010101010101
6,4.752259165038733,6,10,102,0,0,0,0.85
7,-13.533031918403136,17,32,129,0,2,1,0.5758928571428571
3,-6.706045397208072,3,5,31,0,2,0,1
18,-9.437241707955698,15,30,154,0,1,1,0.9221556886227545
3,4.548329591227218,34,58,361,2,0,3,0.7568134171907757
5,NA,0,0,0,0,0,0,NA
1,-0.544656885205768,2,2,6,0,0,0,0
3,-0.6515430161962286,0,1,0,0,0,0,0
5,2.4409939376013767,9,12,86,0,0,1,1.162162162162162
6,-2.130479126713199,24,36,200,0,0,3,0.8
7,4.930734614199577,18,29,279,2,0,4,0.8773584905660378
8,-10.349500579329142,4,7,8,0,0,2,0.2962962962962963
15,0.40001194594534706,2,4,13,0,0,0,1.3
16,0.5316355136455968,7,16,133,1,1,0,0.6244131455399061
17,-2.061729279968789,27,41,319,1,1,6,0.9608433734939759
18,9.55054857267519,23,32,297,1,1,1,0.939873417721519
15,-2.5340544037528776,23,36,229,1,1,3,0.8297101449275363
16,-18.117274977848865,11,17,62,0,2,3,0.6138613861386139
1,2.355538343570046,27,34,177,2,0,2,1.2919708029197081
2,3.3465051103927843,18,32,308,3,1,7,1.0266666666666666
3,2.2087187350008812,23,38,306,1,1,1,0.7427184466019418
4,14.21806286516332,21,28,223,3,0,1,1.2458100558659218
5,-10.412276005515249,20,31,196,2,0,4,1.1073446327683616
6,-18.298592432925943,13,22,95,1,2,4,0.811965811965812
7,4.095713499630485,20,29,194,1,0,1,0.8546255506607929
8,-4.8447875870412584,12,19,114,3,0,6,0.8976377952755905
10,5.758063172628668,24,29,193,2,0,4,1.93
11,1.4860982910168274,27,35,259,1,0,2,1.111587982832618
12,4.45424141373951,13,22,134,1,0,1,1.098360655737705
13,-14.968118985611403,15,26,186,1,3,3,0.5552238805970149
14,-2.21562039923466,21,33,224,2,1,2,1.341317365269461
15,-2.3929814262664877,18,32,223,1,0,2,0.9612068965517241
16,-1.1267621187165258,25,37,238,2,0,5,0.7345679012345679
1,0.32368977627827666,33,44,344,2,1,2,1.1543624161073827
2,17.481337210163474,31,44,364,4,0,2,0.9122807017543859
3,1.4202402869707438,32,50,367,3,1,4,0.924433249370277
4,-10.878062953648623,12,19,139,2,2,2,0.8323353293413174
5,2.5681459510758153,29,47,284,2,0,3,0.8
6,-6.169656257693803,21,31,181,1,0,2,0.9576719576719577
7,12.85741865847513,35,45,378,2,1,0,1.5180722891566265
8,19.499932799483048,23,31,274,2,0,2,1.3838383838383839
1,-12.0429618927599,16,34,198,0,3,3,0.6387096774193548
2,1.4567640593870608,20,24,246,1,0,5,1.1658767772511849
3,-14.025611756842375,13,25,104,0,0,5,0.4094488188976378
4,7.165728041705081,18,25,240,1,1,3,0.7817589576547231
5,9.329527414469329,23,34,264,0,1,1,1.0232558139534884
6,-10.508053488856875,8,16,76,0,1,2,0.5801526717557252
16,-2.6874157276470214,18,26,152,0,0,6,1.1968503937007875
17,-2.4355689408452954,16,20,168,0,0,5,2.27027027027027
18,0.881224628596101,17,26,168,2,1,2,1.1666666666666667
17,NA,0,0,0,0,0,0,NA
1,-4.389090738004491,16,26,112,1,0,2,0.8818897637795275
2,14.869270530748487,32,41,328,2,0,1,1.2664092664092663
3,5.2735152484276275,23,36,296,1,1,2,0.9966329966329966
4,-9.127239332726395,13,20,110,1,0,2,1.4102564102564104
6,-3.616049409648474,27,41,326,0,2,4,0.9449275362318841
7,7.2816635705999575,18,24,219,2,1,2,0.9563318777292577
8,2.6245567447569806,23,37,254,2,2,1,0.8943661971830986
9,-14.661981639171309,13,28,157,0,1,4,0.7168949771689498
10,5.205711377139459,31,47,369,2,0,1,1.3273381294964028
11,5.416796529322654,22,34,233,1,0,2,0.9914893617021276
12,-11.940727955094662,18,27,180,0,1,6,0.6206896551724138
13,11.57318432268221,23,41,334,3,1,0,1.4458874458874458
16,11.052164996637064,25,36,227,2,0,3,0.978448275862069
17,7.223915382146952,23,33,290,1,0,1,1.288888888888889
18,5.654846886358095,16,28,189,2,0,0,1.105263157894737
5,NA,0,0,0,0,0,0,NA
1,3.6704846313371933,23,33,305,1,1,4,0.8068783068783069
2,-2.1891075282538184,21,36,228,0,1,4,0.8172043010752689
3,0.07446693118935999,13,18,103,1,0,3,0.7923076923076923
4,-12.751911281074792,23,37,127,0,0,2,0.450354609929078
5,3.4477739772610976,18,26,183,2,0,2,0.7349397590361446
6,5.213855274451472,32,50,353,1,1,2,0.6814671814671814
7,-16.85071141964793,33,55,301,1,1,1,0.9347826086956522
8,13.525134789408185,19,27,310,2,0,1,0.9337349397590361
9,2.713006294238157,25,34,211,2,0,0,1.4755244755244756
10,-2.3130262496371943,13,18,110,0,0,2,1.134020618556701
12,-1.2685188326217418,24,38,304,0,1,1,0.9240121580547113
13,7.331379322044086,17,22,226,1,1,2,1.4394904458598725
